index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,province_normalized,city_normalized,facility_name_normalized,source_record_id,InsideVancouverCSD2016,CMNTY_HLTH_SERV_AREA_CODE,CMNTY_HLTH_SERV_AREA_NAME,SpatialAssignmentStatus,coord_key,canonical_key,CanonicalFacilityID
433,banyan house,,Nursing and residential care facilities,Province of British Columbia,,4134,rupert st,V5R2H4,vancouver,bc,4134 rupert st vancouver bc v5r 2h4,Vancouver,5915022,59,49.24762,-123.0333789,BC,vancouver,banyan house,433,True,3233,Renfrew-Collingwood,Assigned by point-in-polygon,49.2476|-123.0334,banyan house|49.2476|-123.0334,FAC-0011
445,bc children's hospital,,Hospitals,Province of British Columbia,,4480,oak street,V6H3N1,vancouver,bc,4480 oak street vancouver bc v6h 3n1,Vancouver,5915022,59,49.244569,-123.125683,BC,vancouver,bc children s hospital,445,True,3253,South Cambie/Riley Park,Assigned by point-in-polygon,49.2446|-123.1257,bc children s hospital|49.2446|-123.1257,FAC-0012
446,bc women's hospital and health centre,,Hospitals,Province of British Columbia,,4500,oak street,V6H3N1,vancouver,bc,4500 oak street vancouver bc v6h 3n1,Vancouver,5915022,59,49.243637,-123.125393,BC,vancouver,bc women s hospital and health centre,446,True,3253,South Cambie/Riley Park,Assigned by point-in-polygon,49.2436|-123.1254,bc women s hospital and health centre|49.2436|-123.1254,FAC-0013
460,berman house,,Nursing and residential care facilities,Province of British Columbia,,1400,lakewood dr,V5L4M8,vancouver,bc,1400 lakewood dr vancouver bc v5l 4m8,Vancouver,5915022,59,49.271922,-123.062,BC,vancouver,berman house,460,True,3223,Grandview-Woodland,Assigned by point-in-polygon,49.2719|-123.062,berman house|49.2719|-123.062,FAC-0014
483,birchwood house,,Nursing and residential care facilities,Province of British Columbia,,4002,maple crescent,V6J4B2,vancouver,bc,4002 maple crescent vancouver bc v6j 4b2,Vancouver,5915022,59,49.250434,-123.151,BC,vancouver,birchwood house,483,True,3241,Shaughnessy/Arbutus Ridge/Kerrisdale,Assigned by point-in-polygon,49.2504|-123.151,birchwood house|49.2504|-123.151,FAC-0015
486,blenheim lodge,,Nursing and residential care facilities,Province of British Columbia,,3263,blenheim st,V6L2X7,vancouver,bc,3263 blenheim st vancouver bc v6l 2x7,Vancouver,5915022,59,49.2572761,-123.1791189,BC,vancouver,blenheim lodge,486,True,3242,West Point Grey/Dunbar-Southlands,Assigned by point-in-polygon,49.2573|-123.1791,blenheim lodge|49.2573|-123.1791,FAC-0016
501,bridge house,,Nursing and residential care facilities,Province of British Columbia,,1435,e 19 ave,V5N2H9,vancouver,bc,1435 e 19th ave vancouver bc v5n 2h9,Vancouver,5915022,59,49.253717,-123.075,BC,vancouver,bridge house,501,True,3231,Cedar Cottage,Assigned by point-in-polygon,49.2537|-123.075,bridge house|49.2537|-123.075,FAC-0017
503,britannia lodge,,Nursing and residential care facilities,Province of British Columbia,,1090,victoria dr,V5L4G2,vancouver,bc,1090 victoria dr vancouver bc v5l 4g2,Vancouver,5915022,59,49.2751821,-123.0652695,BC,vancouver,britannia lodge,503,True,3223,Grandview-Woodland,Assigned by point-in-polygon,49.2752|-123.0653,britannia lodge|49.2752|-123.0653,FAC-0018
504,british columbia children's hospital,pediatric,Hospitals,Public Health Agency of Canada,,4480,oak st,V6H3V4,vancouver,bc,4480 oak st. vancouver bc v6h 3v4,Vancouver,5915022,59,49.244268,-123.125479,BC,vancouver,british columbia children s hospital,504,True,3253,South Cambie/Riley Park,Assigned by point-in-polygon,49.2443|-123.1255,british columbia children s hospital|49.2443|-123.1255,FAC-0019
505,broadway house,,Nursing and residential care facilities,Province of British Columbia,,4755,victoria dr,V5N4P2,vancouver,bc,4755 victoria dr vancouver bc v5n 4p2,Vancouver,5915022,59,49.2421167,-123.0656713,BC,vancouver,broadway house,505,True,3251,Kensington,Assigned by point-in-polygon,49.2421|-123.0657,broadway house|49.2421|-123.0657,FAC-0020
506,broadway pentecostal lodge,,Nursing and residential care facilities,Province of British Columbia,,1377,lameys mill rd,V6H3S9,vancouver,bc,1377 lamey's mill rd vancouver bc v6h 3s9,Vancouver,5915022,59,49.2674372,-123.1343725,BC,vancouver,broadway pentecostal lodge,506,True,3213,Fairview,Assigned by point-in-polygon,49.2674|-123.1344,broadway pentecostal lodge|49.2674|-123.1344,FAC-0021
507,broadway station medical clinic,,Ambulatory health care services,Province of British Columbia,,2516,commercial drive,V5N4C2,vancouver,bc,2516 commercial drive vancouver bc v5n 4c2,Vancouver,5915022,59,49.26194,-123.069626,BC,vancouver,broadway station medical clinic,507,True,3231,Cedar Cottage,Assigned by point-in-polygon,49.2619|-123.0696,broadway station medical clinic|49.2619|-123.0696,FAC-0022
530,byron house,,Nursing and residential care facilities,Province of British Columbia,,551,e 16 ave,V5T2V1,vancouver,bc,551 e 16th ave vancouver bc v5t 2v1,Vancouver,5915022,59,49.256752,-123.093,BC,vancouver,byron house,530,True,3252,Mount Pleasant,Assigned by point-in-polygon,49.2568|-123.093,byron house|49.2568|-123.093,FAC-0023
535,camille house,,Nursing and residential care facilities,Province of British Columbia,,5,w 15 ave,V5Y1X7,vancouver,bc,5 w 15th ave vancouver bc v5y 1x7,Vancouver,5915022,59,49.2577746,-123.1054368,BC,vancouver,camille house,535,True,3252,Mount Pleasant,Assigned by point-in-polygon,49.2578|-123.1054,camille house|49.2578|-123.1054,FAC-0024
